Category,Customer Name,Product Name,Sub-Category,Profit,Sales
Furniture,Claire Gute,Bush Somerset Collection Bookcase,Bookcases,41.9136,261.96
Furniture,Claire Gute,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,219.582,731.94
Office Supplies,Darrin Van Huff,Self-Adhesive Address Labels for Typewriters by Universal,Labels,6.8714,14.62
Furniture,Sean O'Donnell,Bretford CR4500 Series Slim Rectangular Table,Tables,-383.031,957.5775
Office Supplies,Sean O'Donnell,Eldon Fold 'N Roll Cart System,Storage,2.5164,22.368
Furniture,Brosina Hoffman,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,14.1694,48.86
Office Supplies,Brosina Hoffman,Newell 322,Art,1.9656,7.28
Technology,Brosina Hoffman,Mitel 5320 IP Phone VoIP phone,Phones,90.7152,907.152
Office Supplies,Brosina Hoffman,DXL Angle-View Binders with Locking Rings by Samsill,Binders,5.7825,18.504
Office Supplies,Brosina Hoffman,Belkin F5C206VTEL 6 Outlet Surge,Appliances,34.47,114.9
Furniture,Brosina Hoffman,Chromcraft Rectangular Conference Tables,Tables,85.3092,1706.184
Technology,Brosina Hoffman,Konftel 250 Conference phone - Charcoal black,Phones,68.3568,911.424
Office Supplies,Andrew Allen,Xerox 1967,Paper,5.4432,15.552
Office Supplies,Irene Maddox,Fellowes PB200 Plastic Comb Binding Machine,Binders,132.5922,407.976
Office Supplies,Harold Pawlan,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,-123.858,68.81
Office Supplies,Harold Pawlan,Storex DuraTech Recycled Plastic Frosted Binders,Binders,-3.816,2.544
Office Supplies,Pete Kriz,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,13.3176,665.88
Office Supplies,Alejandro Grove,Fellowes Super Stor/Drawer,Storage,9.99,55.5
Office Supplies,Zuschuss Donatelli,Newell 341,Art,2.4824,8.56
Technology,Zuschuss Donatelli,Cisco SPA 501G IP Phone,Phones,16.011,213.48
Office Supplies,Zuschuss Donatelli,"Wilson Jones Hanging View Binder, White, 1""",Binders,7.384,22.72
Office Supplies,Ken Black,Newell 318,Art,5.0596,19.46
Office Supplies,Ken Black,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,15.6884,60.34
Furniture,Sandra Flanagan,"Global Deluxe Stacking Chair, Gray",Chairs,-1.0196,71.372
Furniture,Emily Burns,Bretford CR4500 Series Slim Rectangular Table,Tables,240.2649,1044.63
Office Supplies,Eric Hoffmann,Wilson Jones Active Use Binders,Binders,4.2224,11.648
Technology,Eric Hoffmann,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,11.7741,90.57
Furniture,Tracy Blumstein,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-1665.0522,3083.43
Office Supplies,Tracy Blumstein,Avery Recycled Flexi-View Covers for Binding Systems,Binders,-7.0532,9.618
Furniture,Tracy Blumstein,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,15.525,124.2
Office Supplies,Tracy Blumstein,Poly String Tie Envelopes,Envelopes,1.1016,3.264
Office Supplies,Tracy Blumstein,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Art,9.7092,86.304
Office Supplies,Tracy Blumstein,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders,-5.715,6.858
Office Supplies,Tracy Blumstein,Lumber Crayons,Art,3.546,15.76
Office Supplies,Matt Abelman,Easy-staple paper,Paper,9.9468,29.472
Technology,Gene Hale,GE 30524EE4,Phones,123.4737,1097.544
Furniture,Gene Hale,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furnishings,-147.963,190.92
Office Supplies,Steve Nguyen,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,35.415,113.328
Furniture,Steve Nguyen,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,-46.9764,532.3992
Furniture,Steve Nguyen,"Global Fabric Manager's Chair, Dark Gray",Chairs,-15.147,212.058
Technology,Steve Nguyen,Plantronics HL10 Handset Lifter,Phones,41.7564,371.168
Technology,Linda Cazamias,Panasonic Kx-TS550,Phones,16.5564,147.168
Office Supplies,Ruben Ausman,"Eldon Base for stackable storage shelf, platinum",Storage,3.894,77.88
Office Supplies,Erin Smith,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage,9.5616,95.616
Technology,Odella Nelson,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,19.7714,45.98
Office Supplies,Odella Nelson,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,8.2062,17.46
Office Supplies,Patrick O'Donnell,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage,8.4784,211.96
Technology,Lena Hernandez,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,4.95,45
Technology,Lena Hernandez,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones,6.104,21.8
Office Supplies,Darren Powers,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders,17.9634,38.22
Office Supplies,Darren Powers,Avery 485,Labels,35.3346,75.18
Furniture,Darren Powers,Longer-Life Soft White Bulbs,Furnishings,2.9568,6.16
Furniture,Darren Powers,"Global Leather Task Chair, Black",Chairs,17.0981,89.99
Office Supplies,Janet Molinari,Advantus Push Pins,Fasteners,6.2566,15.26
Technology,Janet Molinari,AT&T CL83451 4-Handset Telephone,Phones,298.6855,1029.95
Office Supplies,Ted Butterfield,Home/Office Personal File Carts,Storage,52.14,208.56
Office Supplies,Ted Butterfield,Xerox 232,Paper,15.552,32.4
Furniture,Ted Butterfield,Novimex Turbo Task Chair,Chairs,7.098,319.41
Office Supplies,Ted Butterfield,"Array Parchment Paper, Assorted Colors",Paper,6.9888,14.56
Technology,Ted Butterfield,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,3.3,30
Office Supplies,Ted Butterfield,Plastic Binding Combs,Binders,16.362,48.48
Office Supplies,Ted Butterfield,Prang Dustless Chalk Sticks,Art,0.84,1.68
Technology,Kunst Miller,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories,6.1512,13.98
